postcode_sector,All_english,Some_adult_english,Only_child_english,No_english
AL1  1,"2,222",136,15,81
AL1  2,"2,256",155,38,128
AL1  3,"1,878",109,14,109
AL1  4,"3,310",182,17,102
AL1  5,"3,565",331,46,305
AL10 0,"3,503",276,51,371
AL10 8,"3,347",336,37,351
AL10 9,"3,571",398,48,373
AL2  1,"3,356",221,32,154
AL2  2,"2,380",83,12,38
AL2  3,"3,040",91,9,40
AL3  4,"2,194",82,5,39
AL3  5,"3,089",193,28,114
AL3  6,"1,451",83,21,47
AL3  7,"2,120",50,8,21
AL3  8,"1,832",28,1,13
AL4  0,"3,172",178,23,86
AL4  8,"2,531",52,8,26
AL4  9,"4,443",154,17,97
AL5  1,"2,297",80,9,25
AL5  2,"1,748",54,5,28
AL5  3,"1,564",55,4,7
AL5  4,"2,403",69,8,37
AL5  5,"3,002",104,14,71
AL6  0,"2,447",63,7,19
AL6  9,"1,919",40,1,27
AL7  1,"2,311",78,21,74
AL7  2,"3,101",90,23,119
AL7  3,"3,711",140,30,128
AL7  4,"3,939",148,55,176
AL8  6,"2,480",95,12,82
AL8  7,"2,795",87,18,41
AL9  5,797,50,4,35
AL9  6,509,10,1,11
AL9  7,"2,610",109,11,50
B1   1,"1,575",149,11,433
B1   2,"1,079",101,21,253
B1   3,524,30,3,61
B10  0,"1,180",606,156,582
B10  9,"1,774","1,528",310,915
B11  1,"1,193","1,035",217,839
B11  2,627,248,51,194
B11  3,"3,163","1,108",265,849
B11  4,"1,008","1,128",183,645
B12  0,"1,298",160,81,339
B12  8,"1,034",740,160,545
B12  9,"1,283",560,128,391
B13  0,"4,614",402,69,195
B13  8,"2,973",274,30,181
B13  9,"5,043",755,92,452
B14  4,"4,927",152,31,103
B14  5,"4,570",97,22,101
B14  6,"4,572",221,47,141
B14  7,"2,881",211,20,104
B15  1,908,54,12,186
B15  2,"2,582",266,50,375
B15  3,"1,605",154,38,139
B16  0,"2,251",594,89,560
B16  8,"2,641",205,81,640
B16  9,"2,521",293,33,450
B17  0,"3,502",204,55,327
B17  8,"2,530",475,52,361
B17  9,"3,174",140,16,113
B18  4,"1,187",341,115,432
B18  5,"1,434",210,57,317
B18  6,864,53,10,115
B18  7,914,53,21,109
B19  1,"1,185",683,175,513
B19  2,"1,605",352,187,474
B19  3,882,94,93,245
B2   4,194,13,0,128
B2   5,65,3,0,42
B20  1,"1,852",564,41,289
B20  2,"2,555",622,78,492
B20  3,"2,409","1,148",192,808
B21  0,"1,724",665,178,811
B21  8,"1,809",646,134,614
B21  9,"1,555",859,158,701
B23  5,"6,271",192,65,220
B23  6,"4,439",218,54,344
B23  7,"5,916",395,90,444
B24  0,"4,289",122,22,98
B24  8,"2,448",253,52,247
B24  9,"4,022",159,22,200
B25  8,"4,915",556,156,379
B26  1,"4,197",163,26,110
B26  2,"4,344",134,20,84
B26  3,"4,237",122,22,100
B27  6,"3,322",266,33,280
B27  7,"5,131",410,90,381
B28  0,"4,797",413,54,184
B28  8,"1,962",410,60,209
B28  9,"2,329",300,40,159
B29  4,"2,466",85,36,134
B29  5,"3,876",97,66,143
B29  6,"3,530",377,42,348
B29  7,"3,241",328,33,240
B3   1,"1,243",101,3,169
B3   2,62,3,0,24
B30  1,"4,272",99,24,68
B30  2,"4,483",199,36,122
B30  3,"3,067",87,13,75
B31  1,"4,510",101,45,109
B31  2,"4,943",113,40,117
B31  3,"4,730",56,18,53
B31  4,"4,242",50,22,49
B31  5,"3,603",69,38,69
B32  1,"3,586",128,35,97
B32  2,"4,535",193,91,246
B32  3,"4,895",88,42,98
B32  4,"2,199",35,6,39
B33  0,"4,423",69,24,69
B33  8,"3,901",368,80,207
B33  9,"4,167",193,90,150
B34  6,"4,151",270,33,144
B34  7,"3,504",37,13,34
B35  6,"1,905",12,6,20
B35  7,"2,242",31,5,26
B36  0,"5,173",36,8,45
B36  8,"3,650",465,97,255
B36  9,"3,907",37,11,27
B37  5,"4,303",39,21,37
B37  6,"4,902",42,25,66
B37  7,"5,760",51,10,44
B38  0,762,14,2,9
B38  8,"3,757",94,16,47
B38  9,"4,135",69,26,70
B4   6,139,11,0,42
B4   7,277,56,0,95
B42  1,"3,527",332,47,269
B42  2,"4,725",205,53,165
B43  5,"4,046",248,34,174
B43  6,"2,397",181,11,70
B43  7,"4,342",83,14,39
B44  0,"5,646",119,45,139
B44  8,"3,894",129,20,105
B44  9,"4,700",80,24,76
B45  0,"3,078",35,5,22
B45  8,"4,321",45,10,25
B45  9,"5,130",51,10,41
B46  1,"3,013",39,2,19
B46  2,871,5,0,1
B46  3,"1,181",15,1,5
B47  5,"2,812",23,3,4
B47  6,"1,160",8,1,5
B48  7,"2,368",22,0,1
B49  5,"1,954",29,1,19
B49  6,"2,445",28,0,12
B5   4,830,83,3,416
B5   5,81,28,2,56
B5   6,72,11,0,52
B5   7,"2,456",358,91,487
B50  4,"2,120",34,1,16
B6   4,242,50,19,59
B6   5,874,254,86,283
B6   6,"1,176",986,200,663
B6   7,756,112,41,133
B60  1,"3,201",30,0,14
B60  2,"3,136",34,8,25
B60  3,"3,733",26,4,24
B60  4,"1,425",12,0,8
B61  0,"4,060",38,7,15
B61  7,"1,966",15,4,14
B61  8,"2,521",22,0,19
B61  9,"1,008",7,1,4
B62  0,"2,539",59,4,26
B62  8,"3,176",94,14,49
B62  9,"4,032",135,6,72
B63  1,"2,422",16,0,9
B63  2,"4,798",126,28,90
B63  3,"3,365",37,5,26
B63  4,"4,373",106,33,93
B64  5,"1,588",46,3,24
B64  6,"2,776",131,15,79
B64  7,"2,228",37,7,30
B65  0,"2,403",84,19,68
B65  8,"2,933",54,11,40
B65  9,"4,054",64,11,54
B66  1,582,252,46,190
B66  2,236,98,30,150
B66  3,"1,624",384,138,460
B66  4,"1,973",496,97,580
B67  5,"3,824",193,25,172
B67  6,"3,284",356,64,287
B67  7,"1,989",672,111,665
B68  0,"3,637",157,18,85
B68  8,"3,409",275,35,232
B68  9,"3,913",276,54,176
B69  1,"5,510",149,51,213
B69  2,"1,723",164,17,130
B69  3,"1,090",153,17,104
B69  4,"1,787",175,31,153
B7   4,"1,040",103,85,257
B7   5,"1,431",147,109,271
B70  0,"2,126",255,44,213
B70  6,"1,770",391,50,524
B70  7,"1,039",74,29,111
B70  8,820,209,36,192
B70  9,"2,096",250,69,397
B71  1,"2,717",196,62,253
B71  2,"3,693",129,24,154
B71  3,"3,354",152,36,153
B71  4,"1,360",92,21,116
B72  1,"3,742",93,10,57
B73  5,"5,435",122,16,84
B73  6,"3,767",113,16,51
B74  2,"3,891",115,16,52
B74  3,"4,424",112,19,42
B74  4,"4,621",122,12,42
B75  5,"3,200",69,11,29
B75  6,"3,526",78,6,25
B75  7,"3,887",62,29,59
B76  0,152,0,0,1
B76  1,"4,750",105,10,55
B76  2,"2,711",47,16,27
B76  9,"1,286",12,1,11
B77  1,"4,269",34,5,26
B77  2,"5,605",57,6,56
B77  3,"3,599",41,0,29
B77  4,"5,479",67,3,64
B77  5,"3,461",37,4,31
B78  1,"4,040",32,8,12
B78  2,"1,791",16,0,8
B78  3,"4,008",32,7,28
B79  0,"1,234",10,1,2
B79  7,"2,929",31,5,64
B79  8,"4,381",50,4,42
B79  9,870,14,0,3
B8   1,873,946,198,753
B8   2,"2,893",992,224,659
B8   3,"1,930","1,311",256,850
B80  7,"2,938",22,6,17
B9   4,954,256,74,272
B9   5,"3,145","1,401",348,"1,057"
B90  1,"4,482",78,8,69
B90  2,"5,064",133,13,62
B90  3,"3,997",143,31,76
B90  4,"4,431",139,15,92
B91  1,"3,990",158,16,73
B91  2,"4,688",167,27,133
B91  3,"3,986",122,25,80
B92  0,"1,630",34,3,16
B92  7,"4,963",166,30,115
B92  8,"5,026",139,20,88
B92  9,"3,313",87,13,65
B93  0,"1,565",18,0,5
B93  8,"3,009",38,3,18
B93  9,"3,287",53,4,20
B94  5,"1,527",18,0,8
B94  6,"1,418",18,1,3
B95  5,"1,785",20,2,5
B95  6,819,3,0,2
B96  6,"2,181",21,3,10
B97  4,"2,219",96,14,124
B97  5,"6,882",70,4,53
B97  6,"3,949",79,20,114
B98  0,"5,676",95,14,174
B98  7,"7,258",225,34,311
B98  8,"3,484",155,31,202
B98  9,"2,539",36,4,89
BA1  1,734,60,0,137
BA1  2,"3,163",149,10,264
BA1  3,"2,928",107,6,80
BA1  4,"2,174",70,11,52
BA1  5,"1,933",107,4,102
BA1  6,"3,607",124,13,120
BA1  7,"2,259",52,5,24
